Type_of_event,Distance,Warranty,Participants,Preference,Profession,Age,show_up_Rate
9,0,50,10,10,4,56,90
8,300,1,200,9,4,68,65
8,50,1,200,7,1,87,75
8,300,200,10,9,4,14,65
8,100,5,10000,8,4,37,75
8,0,5,1000,8,4,67,80
8,100,100,1,10,3,17,85
9,200,100,200,8,4,58,60
11,800,5,10000,8,4,61,55
10,1000,200,10000,9,3,8,40
7,200,20,10000,9,1,0,65
8,0,10000,20,8,1,76,65
9,0,50,20,8,2,73,90
8,20,5,200,9,1,16,75
8,800,200,1,9,4,3,55
8,500,5,10000,7,4,4,60
8,20,10,1000,11,1,46,70
7,500,5,20,10,2,53,75
8,20,1000,1,7,4,26,70
10,10,1000,1,9,3,62,75
7,500,20,50,9,2,50,65
10,0,1,1,7,2,33,95
9,1000,500,1000,11,3,10,35
7,0,5,10,7,1,36,95
7,50,20,20,9,2,10,90
7,50,500,50,11,4,58,60
10,500,500,20,10,3,83,60
11,1000,10000,20,7,1,11,40
11,1000,100,10000,8,3,61,50
10,200,500,1000,10,4,27,50
9,1000,5,10,11,1,13,70
8,800,1,1000,11,4,61,55
11,500,1,1,10,4,17,75
11,200,200,1000,7,1,22,45
10,50,100,10000,8,4,38,65
9,50,1,20,7,4,53,90
8,800,20,50,9,3,3,65
10,200,1,5,7,1,52,85
11,20,1000,10000,9,3,35,55
9,1000,5,20,8,4,31,70
7,100,100,200,11,3,83,70
7,200,10000,50,9,3,3,55
9,20,1,20,8,1,0,85
8,10,100,1,7,1,18,80
11,10,10,20,7,4,54,90
7,50,200,20,9,2,52,70
11,200,500,200,8,2,14,50
7,500,100,5,10,1,6,65
8,50,100,50,11,2,46,75
7,500,50,10,8,4,51,75
10,20,5,10,7,4,17,95
9,100,10,20,10,2,28,90
7,50,1000,1,10,3,44,70
9,0,20,10000,8,2,42,75
10,800,200,50,9,1,46,40
10,10,200,10000,11,1,20,55
11,300,500,10000,8,3,5,45
9,300,1000,10000,9,3,18,50
11,200,100,5,8,3,61,80
8,300,100,200,8,3,57,65
7,1000,100,10,8,1,26,60
11,50,50,200,9,4,67,75
8,0,1000,50,9,3,8,65
7,20,100,1000,11,3,16,70
10,100,500,200,11,2,39,50
8,0,50,10000,11,4,38,75
10,100,10000,50,8,2,18,55
8,100,5,10,9,1,0,85
7,20,10000,50,11,2,15,60
9,500,100,50,10,3,31,60
10,300,500,200,9,2,5,45
10,50,500,200,10,4,23,55
9,500,1,10,9,1,58,75
7,200,50,200,9,2,21,70
9,800,5,1,11,3,131,80
9,200,50,5,8,2,70,85
8,20,5,20,9,3,13,95
10,50,20,10,7,1,46,90
11,1000,10,200,7,1,5,50
10,0,20,1000,11,2,13,75
8,20,100,10,10,2,22,85
11,10,500,10000,9,3,9,55
7,800,5,20,8,2,24,70
10,20,10,200,9,2,2,80
10,200,1,1000,11,2,5,70
10,300,1000,10000,9,3,34,45
10,1000,200,50,9,1,42,40
11,20,200,10,10,1,31,70
9,10,10,1000,11,1,12,75
11,1000,5,5,10,2,29,70
10,50,5,5,7,2,53,95
9,20,1000,1,10,3,54,75
11,20,1000,20,9,2,32,65
11,500,500,1,9,2,61,55
7,20,200,200,8,3,22,65
8,200,20,10000,8,3,29,75
11,800,1,1,7,1,26,70
11,100,10,200,7,4,37,75
10,0,100,1000,8,3,18,70
9,20,1000,1000,7,1,78,50
11,300,5,50,11,2,26,75
10,10,10,50,9,4,14,85
9,1000,500,50,7,4,53,40
10,300,1000,10000,9,4,78,40
10,0,200,1000,8,4,131,60
7,300,10,10000,7,3,42,70
9,800,1000,10,10,2,40,50
7,10,100,200,8,2,57,70
10,20,100,1,7,4,16,85
7,50,200,10000,10,4,2,55
9,1000,20,200,10,3,56,60
10,100,100,200,11,2,17,65
10,200,1000,10,10,2,21,65
7,1000,1000,1000,7,4,3,35
11,0,10000,20,7,2,36,70
8,500,20,1,8,1,27,75
10,10,20,20,11,2,23,90
11,20,20,10000,11,2,38,80
10,10,5,5,9,2,35,95
11,50,5,5,10,1,14,90
9,100,1000,10,10,1,31,60
10,500,50,5,9,1,33,70
9,200,1000,200,9,2,9,50
7,200,200,50,10,2,32,60
11,200,5,50,11,2,2,80
10,10,1000,10000,8,2,0,55
8,0,20,10,8,1,4,95
11,20,20,1,11,1,21,95
11,50,5,50,9,1,3,80
9,300,10000,1000,7,2,66,40
11,20,50,50,10,3,8,85
10,0,20,5,7,4,19,95
11,0,10000,1,8,4,38,70
7,100,100,200,9,1,78,60
10,10,10,5,10,2,48,100
7,800,1,20,10,3,80,75
8,0,10000,50,8,1,41,60
9,0,50,50,10,4,46,80
10,1000,10000,50,8,4,37,35
10,500,500,200,8,4,26,35
11,300,10000,10000,8,2,74,40
11,800,10000,1,9,4,45,50
10,500,50,50,7,1,55,60
11,500,1000,20,7,3,49,55
8,0,1000,10000,7,1,56,50
10,300,100,10000,8,4,81,55
9,50,100,50,9,2,19,80
7,10,20,20,7,3,0,100
8,100,5,20,9,1,9,85
9,1000,20,10,10,2,67,70
8,1000,20,200,8,4,7,60
8,10,10000,50,10,1,15,55
11,300,1000,10,9,2,18,60
7,20,200,200,7,2,93,65
8,500,50,50,10,3,95,70
9,50,1000,20,8,3,50,70
8,500,1,20,8,3,6,80
11,300,10000,1,9,3,43,60
10,200,10000,20,11,1,13,55
10,300,100,1,8,3,4,75
10,200,1,10,8,1,33,85
11,1000,5,10000,8,1,38,50
9,50,1000,20,9,1,42,65
11,500,5,1,7,2,42,80
7,50,500,5,7,1,95,70
8,100,50,50,8,4,49,80
10,200,50,5,11,1,69,80
10,0,500,10000,10,4,56,55
9,300,5,10000,8,2,9,65
7,100,1000,50,7,1,29,55
10,100,50,50,8,3,95,80
10,50,20,10,11,2,52,90
8,20,10,200,7,2,78,80
11,10,500,1,9,1,25,65
9,1000,50,5,8,2,31,70
11,200,500,20,9,3,83,65
8,200,10000,10,9,4,73,60
11,800,500,10,11,2,9,55
8,800,1000,5,8,1,42,50
8,300,20,10,10,3,2,85
8,300,1000,200,11,2,5,40
11,50,50,10,11,2,33,95
8,200,200,50,9,1,36,55
7,100,1000,20,9,1,45,60
7,200,50,50,9,3,22,75
9,50,500,50,11,3,61,65
11,100,200,1,8,3,48,75
8,1000,20,50,9,2,50,60
9,0,5,20,9,1,2,90
8,100,1,200,8,2,90,80
9,20,1000,20,9,2,30,70
11,300,200,200,9,4,30,45
10,0,1000,20,7,2,64,70
9,20,10,10,10,4,35,90
11,0,200,50,7,4,53,65
10,1000,10000,10000,11,3,1,35
9,300,1000,10000,11,1,7,35
10,1000,5,50,7,2,5,60
10,10,500,10000,9,4,58,55
9,500,20,1,7,4,19,75
8,0,50,1000,8,4,35,75
10,50,50,1000,10,4,72,75
9,50,1,1,7,1,26,90
8,1000,200,1,7,2,20,55
8,200,50,20,11,4,67,80
9,50,5,1000,7,1,71,70
10,100,10000,20,10,3,52,70
9,10,10,50,11,3,59,85
7,300,10000,5,11,3,25,60
8,10,1,1000,7,4,20,75
8,200,1000,10000,8,1,71,45
10,200,20,5,8,4,41,85
8,1000,100,10,7,3,6,65
7,1000,5,1,9,3,77,75
8,50,1,5,11,3,71,95
8,800,100,50,9,4,13,55
11,20,1,200,7,3,74,80
9,0,10,200,8,2,6,80
10,10,20,1,10,2,24,100
10,0,5,1,7,1,56,90
9,20,10000,5,10,4,4,70
8,100,1000,200,7,1,6,45
11,50,100,20,10,4,22,80
11,1000,10000,5,9,4,29,45
9,50,10000,10,7,2,56,70
11,10,10000,10000,8,3,5,55
10,1000,20,200,11,4,34,55
10,200,10000,10000,7,1,26,40
11,20,50,10,9,1,23,85
7,50,50,1000,11,4,38,70
8,200,500,1000,10,3,67,50
9,500,10000,20,8,3,47,55
11,10,20,5,11,2,75,100
7,1000,1,10000,11,4,11,55
10,100,5,5,11,4,90,90
7,300,500,1,10,4,66,60
11,500,200,10,9,2,10,60
10,1000,500,5,8,1,13,45
11,20,1,1,8,3,44,100
10,50,5,200,9,1,25,75
10,100,500,20,7,4,39,65
8,300,1000,20,8,2,30,60
8,500,500,1000,11,3,36,40
11,10,50,10,11,2,36,95
9,10,20,10000,7,2,3,75
9,0,500,1000,9,4,32,55
8,800,1,50,9,4,66,65
11,20,100,10,7,2,26,85
7,500,20,10,10,4,9,75
7,1000,1000,5,10,3,6,50
7,10,1,1,11,1,32,90
11,20,1,1000,11,2,24,80
8,500,1,50,11,1,50,65
8,500,50,200,8,1,13,60
9,500,1,10000,9,3,72,65
9,1000,5,1,11,4,45,70
11,20,500,10,7,4,76,70
9,50,20,50,11,3,68,85
8,0,10,1,8,1,33,95
11,20,1,10,11,1,66,95
8,200,10,50,7,2,37,75
9,10,1000,10000,11,4,47,50
11,500,50,1000,10,2,20,60
10,500,50,5,7,3,90,80
11,20,1,10,10,3,55,95
10,100,100,1,7,3,45,85
10,50,20,50,9,3,41,85
8,500,50,1000,11,2,30,60
10,100,500,5,8,3,67,70
7,10,20,200,7,4,29,80
9,10,500,5,9,4,62,75
11,200,5,1,8,1,48,85
8,500,50,10000,9,3,27,60
10,500,1,1,8,2,23,80
9,200,1,200,10,2,16,70
8,50,100,10000,8,1,53,65
8,1000,10,1000,8,3,45,60
9,300,50,1,9,3,52,85
7,1000,100,5,9,3,31,65
11,100,1,5,7,4,14,90
9,200,10,1000,11,1,67,65
7,800,10000,5,10,3,44,55
10,50,1000,20,10,1,49,65
8,800,50,1000,10,4,14,55
9,1000,5,10,10,4,30,70
7,300,5,10,9,1,83,80
8,50,5,50,10,1,71,80
8,0,200,10,9,3,5,80
11,500,1000,1000,7,2,13,35
9,20,1,10000,7,1,26,70
9,500,200,50,11,3,86,55
9,200,5,5,11,3,56,90
7,100,1,10,7,4,21,95
10,20,10,10000,9,4,41,75
11,200,500,10,7,2,30,65
8,500,1000,5,8,1,36,55
10,100,500,10,10,2,14,70
10,500,500,50,11,2,3,45
11,0,5,10,9,2,39,95
9,500,1000,1,9,4,38,55
11,0,1000,1,7,3,64,75
10,20,100,1000,7,4,52,65
9,800,200,10,11,2,30,55
7,500,1,10,11,4,99,75
8,50,500,5,10,2,43,70
10,100,10000,5,8,3,22,70
9,100,5,200,9,4,32,75
7,800,1000,5,7,1,7,50
8,0,20,1000,10,4,52,75
9,0,20,200,8,2,92,80
9,800,1000,50,11,4,47,40
7,20,500,20,11,2,64,70
11,0,200,10,9,2,35,75
7,100,200,5,8,1,20,70
10,20,200,5,7,4,74,75
8,1000,1000,5,7,1,0,45
8,300,10,50,9,4,23,70
11,1000,20,10000,9,4,34,55
7,20,200,1000,7,3,53,65
7,50,500,1000,10,4,21,50
10,100,500,50,10,1,53,55
10,800,50,10,11,3,24,75
10,10,10000,50,10,2,5,65
9,50,5,200,10,3,50,80
8,500,500,10,11,3,84,60
11,1000,5,50,7,1,93,60
9,0,10000,200,10,3,42,55
9,1000,500,50,8,3,23,40
11,200,500,200,10,2,3,50
7,10,50,5,8,2,37,90
11,1000,100,50,9,3,28,55
7,800,20,10000,10,3,96,60
8,500,50,50,11,3,41,70
9,500,20,10000,9,4,38,60
10,500,200,200,11,1,0,40
11,300,50,20,8,1,86,75
8,800,1000,1000,7,2,56,35
7,0,20,200,8,1,25,75
7,100,50,1000,7,4,38,75
8,500,50,5,9,2,74,75
10,50,200,50,9,4,0,65
11,200,100,200,10,2,41,60
7,500,5,1000,11,1,15,55
11,50,10000,20,11,1,74,65
8,300,50,50,7,2,31,70
9,1000,100,20,8,4,52,60
10,200,1000,1,10,2,10,65
8,0,100,1,9,2,20,85
7,50,1,50,8,4,45,80
8,0,10,20,9,3,0,95
11,50,10000,20,8,1,44,60
10,200,10,10000,8,2,67,70
7,300,50,10000,9,1,73,60
8,1000,1000,50,9,4,31,35
8,200,1,1000,7,4,46,70
11,50,200,10000,9,4,16,55
7,1000,50,5,8,4,94,70
9,1000,500,1,9,3,24,55
7,300,10000,10,9,3,34,60
8,200,100,10000,7,4,26,60
8,10,20,50,10,3,15,85
9,200,100,50,7,4,74,65
7,100,50,5,11,4,41,85
9,20,50,10000,11,1,7,70
9,800,5,1000,7,4,32,55
8,20,1,5,10,3,51,95
11,200,200,5,7,1,22,65
9,200,100,1,11,4,38,75
7,200,10000,20,11,4,43,60
9,10,100,1000,9,3,40,75
7,1000,200,1000,11,4,8,35
7,300,500,10,11,1,46,55
8,1000,500,1000,9,2,79,30
9,0,500,5,11,3,32,75
9,300,100,10,7,3,49,75
8,800,20,1000,8,3,65,65
7,300,1000,50,9,4,9,45
10,1000,10,1000,8,4,9,55
10,50,200,10000,11,3,56,60
10,200,20,5,7,3,54,90
7,500,10000,1,8,4,67,50
9,300,5,1,7,3,45,85
10,10,200,200,7,3,9,65
10,500,1,10000,8,3,48,65
7,0,200,20,11,1,33,70
11,200,200,1000,7,2,39,50
8,50,5,1,10,4,42,90
10,50,1,1000,8,2,62,75
9,0,1,1,8,3,60,100
11,800,500,10,10,3,64,55
7,10,100,50,10,4,48,75
11,800,100,5,10,4,41,65
9,200,1000,1,10,3,67,65
10,200,20,10000,11,2,60,70
7,500,50,200,10,2,16,60
7,200,50,50,8,1,50,70
11,1000,20,50,9,1,43,55
11,800,200,200,9,2,14,40
10,1000,1000,20,8,4,35,45
9,300,100,200,11,2,20,55
7,500,1,10,11,3,45,80
8,50,10,1,8,1,114,95
9,50,200,1000,11,4,15,55
7,300,500,1,9,4,14,60
8,0,10000,50,7,3,15,65
7,50,500,1,11,1,47,65
8,300,20,200,11,1,57,60
11,10,200,10000,10,3,9,60
10,20,500,1,9,1,50,65
10,800,1,10000,9,3,56,60
11,20,10000,1,11,1,74,70
10,500,100,1000,8,2,25,50
11,500,1,1000,9,2,64,60
9,200,20,5,9,2,0,90
7,500,20,10,11,1,46,75
10,800,50,10000,11,2,41,55
7,0,500,5,11,2,97,70
10,10,200,20,7,4,43,70
9,500,500,1000,9,4,83,40
7,300,5,50,11,1,42,70
8,0,200,10000,7,3,3,60
8,50,1000,10000,7,1,37,45
7,200,10000,5,7,3,34,70
10,100,500,20,10,1,44,65
8,200,1,20,11,2,60,85
11,100,1000,10,8,1,5,60
8,100,10,50,11,4,20,80
10,1000,200,1000,8,3,23,40
11,500,1000,5,11,4,52,55
11,800,10000,5,7,4,52,50
9,300,10000,10,10,2,28,60
9,0,5,50,8,4,25,85
9,0,10,1000,8,3,35,80
7,500,100,1,9,2,14,70
8,20,1,50,7,2,72,85
9,300,10,50,11,2,24,70
9,300,10,5,11,4,96,80
11,800,100,1,10,3,34,70
10,300,20,10,7,3,45,85
7,1000,1000,1,9,3,56,50
11,500,1,10000,11,1,22,60
7,200,200,50,9,4,14,60
8,1000,100,5,10,3,56,65
7,0,10000,50,7,3,19,65
10,20,50,10000,11,2,19,75
7,200,1,20,10,1,20,80
10,200,500,5,10,2,8,70
11,200,50,1000,11,2,62,70
9,1000,1,5,11,4,37,70
7,0,5,50,8,1,12,80
8,100,500,10000,11,3,21,55
8,10,500,5,10,1,47,65
8,20,5,50,8,3,83,90
11,0,20,10,8,4,72,95
8,100,500,10000,9,2,2,50
10,50,5,10,10,4,46,95
9,200,10,1000,7,1,56,65
7,0,200,1000,8,2,80,60
8,100,1000,5,8,1,24,65
9,1000,200,10,10,1,59,50
9,10,50,1000,11,3,24,75
11,200,500,20,7,4,52,60
10,500,10,5,11,4,3,75
8,0,10000,200,10,2,59,55
8,0,1,5,9,2,17,95
7,10,500,10000,11,1,52,50
7,100,5,10,10,4,20,90
9,50,100,20,9,1,11,80
8,800,50,200,10,1,20,50
8,100,5,1000,11,1,75,70
8,0,1000,1,10,2,65,70
8,500,10,50,9,1,46,65
8,10,500,1,9,3,65,75
7,10,20,1000,9,2,22,75
9,1000,50,10,7,4,28,70
7,10,10000,1000,8,1,40,50
9,10,5,50,8,1,35,80
8,10,200,1,7,4,26,75
8,300,1000,20,10,2,97,55
7,200,10,20,11,2,6,85
10,800,20,20,10,1,21,70
11,100,10000,10000,7,3,63,50
7,1000,10,1000,11,2,76,55
8,300,5,20,11,3,41,85
7,800,200,10000,8,4,50,35
10,800,200,10,10,2,15,60
7,50,5,50,10,4,26,80
9,50,100,10,11,2,14,85
7,100,20,10000,11,4,29,70
7,20,10,50,10,2,41,85
11,10,1000,5,7,2,39,70
9,0,50,10000,7,4,66,75
7,0,1,10,11,2,14,95
10,800,20,10,10,4,75,75
8,10,10000,1000,11,1,73,50
10,300,1000,5,7,1,95,55
10,20,200,20,8,3,35,75
9,10,1,10000,7,1,46,75
8,0,100,20,10,2,55,85
8,200,10,20,9,3,10,90
9,800,1000,10000,11,3,30,35
10,50,1,10000,11,3,40,80
10,50,200,20,11,2,25,70
9,50,5,1000,10,2,11,75
8,0,100,10000,10,3,5,70
10,200,1,1000,11,1,32,65
10,500,50,10,9,1,89,70
9,500,200,1,11,2,42,60
11,1000,1,10000,9,4,41,55
7,500,10000,1000,7,4,57,40
10,100,10,20,11,2,52,90
11,20,50,50,7,2,72,80
7,0,100,1000,7,3,12,75
10,300,5,20,9,1,30,75
9,100,50,10,10,1,11,85
7,0,50,5,7,2,3,95
11,200,1000,50,10,2,53,55
8,20,1000,10,10,1,28,65
7,10,50,200,7,1,34,75
7,0,500,10000,10,4,30,55
9,500,500,10,10,2,3,55
9,1000,20,50,9,4,45,65
7,200,50,50,10,3,15,75
11,800,10,1,8,1,64,70
7,50,5,5,10,3,30,95
10,10,100,10000,10,1,6,65
8,500,10,1,7,3,51,80
11,20,10000,50,11,1,31,60
8,200,100,10000,8,1,35,60
7,100,100,1000,9,4,94,65
11,300,10000,10000,7,2,1,40
10,100,500,50,10,1,44,55
9,50,1000,10000,8,2,0,50
7,10,100,1,9,2,46,85
10,500,500,20,11,4,32,50
8,300,100,20,10,1,30,65
8,1000,200,5,10,1,52,50
8,50,5,5,11,1,64,90
7,0,1,5,7,3,13,100
8,200,200,20,9,1,53,60
10,0,100,10,8,2,46,85
7,10,10,5,8,2,28,95
8,0,500,1000,10,1,63,50
10,1000,200,50,10,3,81,50
7,200,20,50,10,2,6,75
10,0,1,50,9,2,14,85
10,200,1,5,7,2,13,90
10,0,10000,50,10,1,30,60
8,100,1,50,9,1,34,75
10,20,5,50,8,2,49,85
8,50,500,200,11,4,73,55
8,200,1,10,9,3,45,90
10,800,100,20,7,1,45,60
10,50,1000,50,9,4,4,55
10,0,1,50,9,3,52,90
9,0,10000,200,11,4,2,55
10,300,10000,5,11,3,47,60
11,100,10,10000,9,2,74,75
7,1000,20,1000,10,2,22,55
7,50,1000,1000,11,1,53,45
11,20,500,1,7,3,74,75
7,50,1000,10,11,3,27,70
8,100,10000,20,10,4,40,60
10,500,10,5,9,3,35,80
11,500,100,1,10,1,12,65
7,100,100,20,9,3,51,80
7,800,10000,200,9,2,52,35
11,50,10000,1,8,2,95,70
8,0,10,10000,7,4,25,75
7,20,1,20,11,2,64,90
10,100,10000,200,11,2,66,50
8,10,50,50,10,3,56,85
9,200,50,1000,7,3,52,70
8,10,20,1000,7,3,8,80
10,20,1,1000,7,1,72,70
11,200,5,5,9,3,71,90
10,200,1,1000,11,4,49,70
7,0,10000,1000,8,1,23,50
11,100,50,10,11,3,70,95
7,10,10000,1000,7,4,67,55
11,200,50,1000,10,3,41,70
7,50,10,10000,7,2,17,80
11,10,100,50,7,2,5,75
11,500,5,1000,8,2,40,60
7,100,5,50,8,3,41,85
7,200,10000,20,8,3,28,65
10,1000,100,5,9,2,29,65
9,100,50,20,7,2,9,85
7,20,100,5,9,3,26,90
9,0,100,50,8,4,14,75
8,1000,20,200,10,4,54,55
7,0,5,1000,10,3,11,80
11,20,1000,5,8,1,9,65
8,50,10000,1000,9,4,24,50
10,200,1,1,11,2,33,90
9,300,1000,1000,8,4,25,40
7,300,20,50,11,2,15,70
11,500,1000,20,7,2,61,50
10,50,20,20,8,3,25,95
8,0,1000,1,11,1,55,65
10,500,50,1000,8,3,40,60
9,200,5,5,8,3,55,90
7,20,500,1,10,2,41,70
10,100,10000,10000,11,4,29,45
9,200,50,5,9,3,56,90
11,1000,1,200,7,3,40,60
7,10,10,5,11,2,28,95
11,0,1,50,8,3,6,90
8,100,10000,1000,7,2,4,50
7,0,20,1000,7,2,2,80
9,50,5,5,11,2,5,95
11,20,5,20,7,1,56,85
8,800,10000,1,7,2,63,50
10,0,1000,10,11,4,52,70
8,20,50,10,11,4,35,90
11,200,10,10000,9,1,0,65
8,20,5,1,9,2,23,95
8,1000,5,1,8,3,63,80
11,300,10,200,7,3,11,70
11,1000,100,50,9,4,14,50
9,500,50,1,10,1,86,70
7,200,50,200,7,1,30,70
11,1000,200,20,7,2,9,50
9,0,500,50,10,3,7,65
10,500,1,200,8,1,31,55
9,800,1000,1,9,1,11,50
11,500,10,200,10,3,69,65
11,20,100,50,10,4,35,75
8,500,10,10000,10,3,51,65
9,100,20,5,9,4,30,95
11,300,10,10,7,2,34,80
9,10,20,200,10,3,48,80
11,200,10,1,8,1,20,85
11,50,1,5,11,4,29,95
7,800,500,5,10,1,24,45
11,20,10,10,8,2,42,95
7,50,100,5,9,1,26,80
11,500,5,5,11,1,25,80
9,300,1,10,8,1,29,80
10,100,100,5,10,2,64,85
7,50,1,10,8,4,8,90
8,0,20,20,10,3,79,95
9,50,5,50,11,1,52,80
9,100,1,10,8,1,29,85
7,500,10,10,10,3,90,80
9,1000,500,5,10,3,73,50
8,200,1000,20,7,2,4,60
10,500,500,1000,9,3,71,40
8,50,1,1,10,2,56,95
9,800,20,50,7,3,58,65
8,300,20,5,9,1,10,80
7,20,10000,1000,7,1,45,50
8,300,200,10000,7,4,11,45
11,800,20,1000,11,3,23,65
8,500,50,20,9,3,34,75
8,20,10,1000,8,4,30,80
11,200,1,5,7,1,32,85
7,1000,200,50,10,4,76,40
7,0,100,1,7,2,78,90
9,10,500,1,10,4,9,70
9,20,1000,200,9,4,25,55
10,300,200,50,11,3,55,55
11,100,10,10,8,4,39,90
11,10,100,5,8,1,4,80
8,50,1000,10000,10,2,66,50
11,1000,500,200,9,4,44,30
8,100,1,50,8,2,18,85
10,1000,10000,50,11,3,6,40
10,500,10,1,11,4,53,75
9,500,50,1000,8,3,45,60
9,10,10,1,11,4,96,95
7,50,10,200,9,1,11,70
7,800,10000,10,10,3,50,50
10,500,10,10000,9,2,64,60
7,100,10000,5,7,3,28,75
9,500,500,10000,11,3,38,40
8,100,1000,10000,11,2,51,50
9,1000,5,50,11,1,18,60
11,1000,10000,5,10,1,63,45
9,0,200,1000,10,3,81,60
11,20,50,1,7,1,37,85
8,50,100,50,7,2,32,75
9,1000,1,10,10,2,27,70
9,300,100,200,9,1,35,55
9,50,200,1000,7,3,90,60
7,50,200,50,10,1,38,60
11,300,50,1000,7,3,26,65
8,100,20,1000,8,3,12,80
8,500,5,20,11,1,81,70
9,10,100,20,10,1,22,80
7,10,5,1000,7,1,0,75
8,200,1,10000,9,2,52,70
9,300,500,50,10,3,15,50
9,10,500,10,8,2,52,70
8,50,200,50,8,4,104,65
7,0,200,5,9,2,31,75
8,100,20,50,11,3,8,85
7,800,500,1000,9,2,39,35
9,800,1000,20,8,4,9,45
9,20,5,20,8,4,50,90
10,1000,10000,200,10,1,12,30
7,100,1000,1,8,4,11,65
10,0,10,10000,7,1,46,75
7,20,10,50,10,2,89,85
8,20,1,1,7,3,48,100
9,100,1,10000,11,1,42,70
8,300,50,1000,11,1,0,60
11,50,500,5,8,1,34,65
11,200,1,20,11,2,58,90
11,0,500,1,11,2,23,75
9,50,10,200,8,4,28,75
11,500,100,50,11,2,58,60
10,0,5,10,8,3,2,100
8,300,5,50,9,4,0,70
9,10,50,1000,10,1,50,70
7,1000,5,5,7,3,6,80
11,800,10,50,7,3,25,65
11,300,50,20,9,4,29,75
11,500,10000,5,8,2,15,55
7,0,1000,10000,11,3,43,55
7,20,50,20,7,3,30,95
10,20,10,1,11,1,46,90
8,50,10000,50,10,4,38,55
7,800,10000,10000,11,4,80,30
8,0,50,20,9,2,22,90
10,200,500,200,10,4,42,50
11,50,200,5,7,4,30,75
8,0,100,20,9,1,31,80
8,1000,10,50,11,3,93,65
11,800,1000,20,8,3,59,50
11,800,20,200,8,4,0,55
7,20,5,1000,7,3,84,85
8,1000,10,10000,10,3,21,60
8,10,10000,5,11,1,22,65
7,20,5,200,9,3,62,80
10,800,1,200,7,1,42,55
10,1000,5,200,8,4,31,55
8,50,200,5,9,1,16,70
8,300,1,200,11,2,9,65
8,50,10,10,11,3,45,95
11,1000,1,50,8,3,7,65
10,0,10,5,8,2,4,95
7,800,1,1,8,3,22,80
9,200,200,20,10,4,67,65
11,100,500,10000,8,1,8,45
7,100,10,20,10,3,66,90
10,20,50,5,9,3,2,95
8,100,100,50,10,3,28,75
9,800,1,20,8,4,62,70
8,20,10,200,10,2,3,80
9,50,10000,1,10,4,50,65
11,200,10,5,7,4,53,85
7,100,10,10,10,2,29,90
9,20,50,10000,10,3,18,75
11,300,10,10000,9,4,46,65
8,200,20,10000,10,3,52,70
11,1000,10,5,7,3,48,75
9,100,200,5,9,2,46,75
7,500,200,20,11,3,25,60
11,50,20,10000,8,2,23,75
8,10,200,1,10,2,51,75
11,300,200,50,9,1,17,50
9,300,50,1,9,4,24,85
8,0,50,20,9,2,4,90
8,1000,1000,20,7,4,21,45
8,100,10,20,10,3,43,90
10,1000,100,5,7,4,81,60
7,300,20,200,8,4,35,65
8,100,200,10,7,3,30,75
10,800,1000,1000,9,2,1,35
10,100,10000,1000,9,3,24,50
11,20,1000,1,11,1,45,70
10,300,10,10,8,4,48,80
9,20,5,1000,11,2,67,75
7,100,200,200,10,3,73,60
11,300,10,5,10,4,0,80
11,10,20,10000,8,3,19,80
9,300,5,5,9,1,15,80
11,20,20,1,9,3,93,95
11,50,200,1000,11,1,32,55
9,300,50,50,11,4,3,70
9,20,5,10000,8,2,84,75
11,800,5,50,7,1,43,60
9,500,10,1000,8,4,55,60
10,500,20,200,9,1,13,55
9,500,1000,10,9,2,48,55
8,100,20,10000,10,1,35,70
11,500,200,200,10,2,97,45
10,20,10,20,7,1,5,85
11,10,500,200,9,2,38,55
7,200,500,1,8,3,11,70
11,20,100,200,11,1,32,70
10,800,500,10,8,2,52,50
8,1000,5,1,9,4,69,70
11,1000,20,5,9,4,37,70
8,1000,1,10,8,1,60,70
11,20,1000,1,9,4,16,70
10,100,100,1000,10,2,29,70
10,10,10000,5,11,1,44,65
10,500,5,5,8,4,38,75
7,0,50,50,9,2,7,80
9,10,500,10,8,2,3,70
11,20,5,10000,10,3,63,80
8,500,20,10,9,2,48,75
11,20,100,1,8,1,54,80
7,50,1,5,8,3,47,95
11,200,500,50,7,3,42,55
7,20,20,1,10,4,27,90
9,20,20,1000,10,3,47,80
11,20,200,10000,9,2,69,60
7,10,10000,20,11,4,48,65
10,100,20,50,8,3,5,85
8,20,500,1,11,1,10,65
7,10,5,5,8,2,15,95
10,500,100,5,10,3,63,75
10,500,5,10,11,3,34,80
11,500,500,50,7,2,73,45
7,300,10,10000,9,1,39,60
10,20,10000,10,10,2,6,75
8,100,10,10000,9,1,29,70
10,10,100,50,9,3,83,80
11,500,5,1000,10,1,6,55
7,0,5,5,9,4,35,95
9,10,100,20,11,3,18,85
10,800,1,1,11,2,33,75
9,300,100,50,10,1,35,60
8,1000,100,20,7,3,44,65
11,800,200,10,7,4,74,55
10,1000,1000,5,11,3,46,50
10,200,20,20,10,2,54,90
7,100,10000,50,9,4,90,55
8,20,10,10,11,3,69,95
8,50,1000,10,10,4,30,65
10,10,5,20,8,1,50,90
8,500,500,20,11,2,10,50
10,0,50,1,7,4,4,90
8,800,100,50,11,2,42,55
11,0,100,1000,7,2,19,70
10,50,20,50,10,4,73,85
11,300,10,1000,9,3,20,70
10,10,500,10000,7,2,20,55
7,1000,1000,1,8,3,89,50
8,20,10,5,7,3,26,95
